SMILES,ec50,pec50,activity
Brc1ccc(C(CC2CCCC2)c2cc3cccnc3[nH]2)cc1,783.0,6.106238238,1
Brc1ccc(C(CC2CCCC2)c2cc3cccnc3[nH]2)cc1,783.0,6.106238238,1
C#CCNCc1csc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3ncccc3C)c2)n1,106.0,6.974694135,1
c1ccc(CCc2csc(Nc3ncc(Sc4ccncc4)cc3Oc3ccccc3)n2)cc1,47.0,7.327902142,1
c1ccc(Oc2cc(Sc3ccccn3)cnc2Nc2nc(C3CCOC3)ns2)cc1,21.0,7.677780705,1
c1ccc(Oc2cc(Sc3ccncc3)cnc2Nc2nc(C3CC3)cs2)cc1,103.0,6.987162775,1
c1ccc(Oc2cc(Sc3ccncc3)cnc2Nc2nc(C3CCCCC3)cs2)cc1,92.0,7.036212173,1
c1ccc(Oc2cc(Sc3ccccn3)cnc2Nc2nc(C3CCCO3)ns2)cc1,116.0,6.935542011,1
C=C(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,158.0,6.801342913,1
C=C(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,158.0,6.801342913,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccc4ncccc34)n2)CC1,9.3,8.031517051,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,49.0,7.30980392,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3)n2)CC1,233.0,6.632644079,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3C)n2)CC1,42.0,7.37675071,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cnn(C)c3)n2)CC1,279.0,6.554395797,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccc4ncccc34)n2)CC1,9.3,8.031517051,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,49.0,7.30980392,1
