smiles,ec50,pec50,activity
CN1C(CCC1=O)c1cc2[nH]c(cc2cc1Oc1ccc(nc1)S(C)(=O)=O)-c1ccccn1,0.8,9.096910013,1
CN1C(CCC1=O)c1cc2[nH]c(cc2cc1Oc1ccc(nc1)S(C)(=O)=O)-c1ncc(C)s1,1,9,1
CCS(=O)(=O)c1ccc(Oc2cc3cc(-c4ccc(C(F)(F)F)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,1.4,8.853871964,1
CCS(=O)(=O)c1ccc(Oc2cc3cc(-c4ccc(CCC(=O)OC)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,1.9,8.721246399,1
CCS(=O)(=O)c1ccc(Oc2cc3cc([nH]c3cc2C2CCC(=O)N2C)-c2ccc(CCC(=O)OC)cn2)cc1,1.9,8.721246399,1
CCS(=O)(=O)c1ccc(Oc2cc3cc(-c4ccc(C(F)(F)F)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,2,8.698970004,1
CCS(=O)(=O)c1ccc(Oc2cc3cc([nH]c3cc2C2CCC(=O)N2C)-c2ccc(cn2)C(F)(F)F)cc1,2,8.698970004,1
COC(=O)CCc1ccc(Oc2cc3cc(-c4cnccn4)[nH]c3cc2C2CCC(=O)N2C)cc1,2.1,8.677780705,1
COC(=O)CCc1ccc(Oc2cc3cc([nH]c3cc2C2CCC(=O)N2C)-c2cnccn2)cc1,2.1,8.677780705,1
COC(=O)c1ccc(nc1)-c1cc2cc(Oc3ccc(nc3)S(C)(=O)=O)c(cc2[nH]1)C1CCC(=O)N1C,3.4,8.468521083,1
COC(=O)CCc1ccc(nc1)-c1cc2cc(Oc3ccc(cc3)S(C)(=O)=O)c(cc2[nH]1)C1CCC(=O)N1C,3.8,8.420216403,1
CN1C(CCC1=O)c1cc2[nH]c(cc2cc1Oc1ccc(nc1)S(C)(=O)=O)-c1ccccn1,4.2,8.37675071,1
COC(=O)CCc1ccc(Oc2cc3cc(-c4ccccn4)[nH]c3cc2C2CCC(=O)N2C)cc1,4.3,8.366531544,1
COC(=O)CCc1ccc(Oc2cc3cc([nH]c3cc2C2CCC(=O)N2C)-c2ccccn2)cc1,4.3,8.366531544,1
CCOC(=O)c1ccc(Oc2cc3cc(-c4ccc(C(F)(F)F)cn4)[nH]c3cc2C2CCC(=O)N2C)cc1,4.8,8.318758763,1
CCOC(=O)c1ccc(Oc2cc3cc([nH]c3cc2C2CCC(=O)N2C)-c2ccc(cn2)C(F)(F)F)cc1,4.8,8.318758763,1
CCNC(=O)Cc1csc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3ncccc3C)c2)n1,5,8.301029996,1
CCNC(=O)Cc1csc(NC(=O)c2cc(Oc3ccc(cc3)S(C)(=O)=O)cc(c2)-c2ncccc2C)n1,5,8.301029996,1
CN1C(CCC1=O)c1cc2[nH]c(cc2cc1Oc1ccc(nc1)S(C)(=O)=O)-c1ncc(C)s1,5.5,8.259637311,1
CN1C(CCC1=O)c1cc2[nH]c(cc2cc1Oc1ccc(nc1)S(C)(=O)=O)-c1ncc(C)s1,5.5,8.259637311,1
COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(=O)O)c(Cl)s2)cc1,5.7,8.244125144,1
COc1ccc(Sc2ccc(Sc3ccccn3)nc2C(=O)Nc2nc(CC(O)=O)c(Cl)s2)cc1,5.7,8.244125144,1
COC[C@H](C)Oc1cc(C#Cc2cccc(NCCN3CCCCC3)c2)cc(C(=O)Nc2ccn(C)n2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(C#Cc2cccc(NCCN3CCCC3)c2)cc(C(=O)Nc2ccn(C)n2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(C#Cc2cccc(OCCN3CCCC3)c2)cc(C(=O)Nc2ccn(C)n2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(C#CCOC2CCCCO2)cc(C(=O)Nc2ccn(C)n2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(C#Cc2cccc(NCCN(C)C)c2)cc(C(=O)Nc2ccn(C)n2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(NCCN(C)C)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(NCCN2CCCC2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(NCCN2CCCCC2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(OCCN2CCCC2)c1,6,8.22184875,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#CCOC1CCCCO1,6,8.22184875,1
COC[C@H](C)Oc1cc(C#Cc2cccc(OCCN3CCCCC3)c2)cc(C(=O)Nc2ccn(C)n2)c1,7,8.15490196,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(OCCN2CCCCC2)c1,7,8.15490196,1
COCC(C)NCc1csc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3ncccc3C)c2)n1,8,8.096910013,1
COCC(C)NCc1csc(NC(=O)c2cc(Oc3ccc(cc3)S(C)(=O)=O)cc(c2)-c2ncccc2C)n1,8,8.096910013,1
COC(=O)c1ccc(-c2cc3cc(Oc4ccc(S(C)(=O)=O)nc4)c(C4CCC(=O)N4C)cc3[nH]2)nc1,8.2,8.086186148,1
COC(=O)c1ccc(nc1)-c1cc2cc(Oc3ccc(nc3)S(C)(=O)=O)c(cc2[nH]1)C1CCC(=O)N1C,8.2,8.086186148,1
COC(=O)CCc1cnc(-c2cc3cc(Oc4ccc(S(C)(=O)=O)cc4)c(C4CCC(=O)N4C)cc3[nH]2)s1,8.9,8.050609993,1
COC(=O)CCc1cnc(s1)-c1cc2cc(Oc3ccc(cc3)S(C)(=O)=O)c(cc2[nH]1)C1CCC(=O)N1C,8.9,8.050609993,1
COC[C@H](C)Oc1cc(C#Cc2cccc(NCCn3ccnc3C)c2)cc(C(=O)Nc2ccn(C)n2)c1,9,8.045757491,1
COC[C@H](C)Oc1cc(cc(c1)C(=O)Nc1ccn(C)n1)C#Cc1cccc(NCCn2ccnc2C)c1,9,8.045757491,1
