smiles,ec50,pec50,activity
Brc1ccc(C(CC2CCCC2)c2cc3cccnc3[nH]2)cc1,783,6.106238238,1
Brc1ccc(cc1)C(CC1CCCC1)c1cc2cccnc2[nH]1,783,6.106238238,1
C#CCNCc1csc(NC(=O)c2cc(Oc3ccc(S(C)(=O)=O)cc3)cc(-c3ncccc3C)c2)n1,106,6.974694135,1
C(Cc1ccccc1)c1csc(Nc2ncc(Sc3ccncc3)cc2Oc2ccccc2)n1,47,7.327902142,1
C1CC(CO1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2ccccc2)n1,21,7.677780705,1
C1CC1c1csc(Nc2ncc(Sc3ccncc3)cc2Oc2ccccc2)n1,103,6.987162775,1
C1CCC(CC1)c1csc(Nc2ncc(Sc3ccncc3)cc2Oc2ccccc2)n1,92,7.036212173,1
C1COC(C1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2ccccc2)n1,116,6.935542011,1
C=C(C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(S(=O)(=O)C3CC3)cc2)n1,158,6.801342913,1
CC(=C)c1csc(NC(=O)C(CC2CCOCC2)c2ccc(cc2)S(=O)(=O)C2CC2)n1,158,6.801342913,1
CC(=O)N1CCC(CC1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2cccc3ncccc23)n1,9.3,8.031517051,1
CC(=O)N1CCC(CC1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2ccccc2)n1,49,7.30980392,1
CC(=O)N1CCC(CC1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2cccnc2)n1,233,6.632644079,1
CC(=O)N1CCC(CC1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2cccnc2C)n1,42,7.37675071,1
CC(=O)N1CCC(CC1)c1nsc(Nc2ncc(Sc3ccccn3)cc2Oc2cnn(C)c2)n1,279,6.554395797,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccc4ncccc34)n2)CC1,9.3,8.031517051,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3ccccc3)n2)CC1,49,7.30980392,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3)n2)CC1,233,6.632644079,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cccnc3C)n2)CC1,42,7.37675071,1
CC(=O)N1CCC(c2nsc(Nc3ncc(Sc4ccccn4)cc3Oc3cnn(C)c3)n2)CC1,279,6.554395797,1
CC(=O)N1CCCC1c1cc2[nH]c(-c3ccc(CCC(=O)O)cn3)cc2cc1Oc1ccc(C(=O)N2CCC2)nc1,187.3,6.727462223,1
CC(=O)N1CCCC1c1cc2[nH]c(-c3ccccn3)nc2cc1Oc1cccc(F)c1,930,6.031517051,1
CC(=O)N1CCCC1c1cc2[nH]c(cc2cc1Oc1ccc(nc1)C(=O)N1CCC1)-c1ccc(CCC(O)=O)cn1,187.3,6.727462223,1
CC(=O)N1CCCC1c1cc2nc([nH]c2cc1Oc1cccc(F)c1)-c1ccccn1,930,6.031517051,1
CC(=O)c1ccc(C(CC2CCCC2)c2cc3cccnc3[nH]2)cc1Cl,810,6.091514981,1
