SMILES,Source
COc1ccc([C@H](Cc2ccncc2)c2ccccc2)cc1OC1CCCC1,Preprocessed
O=C(CC(c1ccccc1)C1CCCC1=O)c1ccc(Br)cc1,Preprocessed
c1ccc(C(c2ccccc2)(c2ccccc2)c2ccc3ncccc3c2)cc1,Preprocessed
CC(C)N(CC(=O)Nc1nc(CC(=O)NCCc2ccccn2)cs1)C(=O)c1ccc(Cl)c(Cl)c1,Preprocessed
COc1ccc(C(=O)N(CC(=O)Nc2nc(CC(=O)N3CCc4ccccc4C3)cs2)CC(C)C)cc1,Preprocessed
CC(C)N(CC(=O)Nc1nc(CC(=O)NCc2ccco2)cs1)C(=O)c1ccc(Cl)c(Cl)c1,Preprocessed
COc1cc2ccnc(C(OC(=O)c3ccccc3)c3ccc(OCc4ccccc4)cc3)c2cc1OC,Preprocessed
CCOc1ccc(C(C(=O)OCc2cccc(Oc3ccccc3)c2)C(F)(F)CCl)cc1,Preprocessed
CC(C)c1cc(C(C)C)c(-c2csc(N(CCN(C)C)Cc3cccnc3)n2)c(C(C)C)c1,Preprocessed
Cc1ccc(S(=O)(=O)N2CCC(C(=O)Nc3ccccc3Oc3ccccc3)CC2)cc1,Preprocessed
O=C(CSC(=S)N1CCOCC1)Nc1nc(-c2ccccc2)c(-c2ccccc2)s1,Preprocessed
C[C@H](C(=O)Nc1cc(Cl)ccc1Oc1ccccc1)N(c1ccccc1)S(C)(=O)=O,Preprocessed
CCOc1cc(C(=O)Nc2ccccc2Oc2ccccc2)cc(OCC)c1OCC,Preprocessed
Cc1ccc(Nc2nc(-c3cccc(N4C(=O)c5ccccc5C4=O)c3)cs2)cc1C,Preprocessed
CCc1ccc(NC(=O)N2CCS[C@H]2c2cccc(Oc3ccccc3)c2)cc1,Preprocessed
c1ccc2c(c1)nc1cc(NC3CCCCC3)c(=NC3CCCCC3)cc-1n2C1CCCCC1,Preprocessed
CC[N+](C)(CC)CCSC1=Nc2ccccc2N=C(c2ccc(Sc3ccccc3)cc2)C1,Preprocessed
c1cc2c3c(ccc(OCCCN4CCCCC4)c3c1)-c1cc(OCCCN3CCCCC3)ccc1-2,Preprocessed
